timestamp,open,high,low,close
2018-07-27,323.3000,323.9200,321.5000,322.1800
2018-07-26,325.1600,325.5000,323.1600,323.5200
2018-07-25,325.7400,326.1200,324.5500,325.1600
2018-07-24,326.0300,327.1700,325.1000,325.5000
2018-07-23,324.9800,326.5100,324.8300,326.0800
2018-07-22,325.5900,325.7000,325.0100,325.0600
2018-07-20,326.0500,326.8500,324.8800,325.0500
2018-07-19,323.8200,326.9200,323.7100,326.2400
2018-07-18,323.1200,324.3800,323.0300,323.8600
2018-07-17,322.8300,323.7400,322.4500,323.2900
2018-07-16,322.9900,323.2500,321.3700,322.8200
2018-07-15,322.6300,323.3200,322.6300,323.1100
2018-07-13,324.4600,324.9200,322.3300,322.4900
2018-07-12,325.1800,325.6000,323.8000,324.5800
2018-07-11,323.5300,325.5700,323.3500,325.2600
2018-07-10,323.6200,325.7300,323.1700,323.7900
2018-07-09,323.2100,324.0200,322.2800,323.6800
2018-07-08,322.9400,323.3500,322.7100,323.1200
2018-07-06,323.3800,324.6600,322.3900,322.7600
2018-07-05,325.1100,325.3200,322.6500,323.4700
2018-07-04,327.1400,327.4200,324.6100,325.1300
2018-07-03,329.5700,330.4000,326.0500,327.2600
2018-07-02,328.7700,330.6900,328.3700,329.7300
2018-07-01,328.4500,329.2100,328.4500,328.9200
2018-06-29,328.0800,330.1300,327.0800,328.8800
2018-06-28,327.2400,328.9100,327.1500,327.9000
2018-06-27,325.6600,328.1700,325.5200,327.5200
2018-06-26,325.3000,326.2900,324.8600,325.9900
2018-06-25,324.3600,326.3100,324.0700,325.5600
2018-06-24,324.4000,324.8100,323.8500,324.4000
2018-06-22,326.0600,326.3900,323.2000,324.3700
2018-06-21,323.4500,326.4300,323.2600,326.1800
2018-06-20,322.1200,324.3500,321.3900,323.6900
2018-06-19,323.5500,325.2300,321.4000,322.2800
2018-06-18,322.2700,324.1100,321.9600,323.6300
2018-06-17,322.1300,322.5000,322.0000,322.2500
2018-06-15,322.5800,323.8900,321.8300,322.2900
2018-06-14,320.3700,323.3100,320.1900,322.6100
2018-06-13,319.2800,320.9300,319.1300,320.3200
2018-06-12,320.6500,321.7800,319.0500,319.4700
2018-06-11,319.8100,321.8000,318.9800,320.7400
2018-06-10,319.3600,320.2000,319.3600,319.4900
2018-06-08,318.5000,320.6200,318.1800,319.1800
2018-06-07,317.8000,318.6900,316.4900,318.6900
2018-06-06,318.3400,319.0600,317.2800,317.8300
2018-06-05,318.5500,319.0100,317.9700,318.5100
2018-06-04,319.2600,320.1200,318.2700,318.5100
2018-06-03,319.8300,320.0500,319.1900,319.2700
2018-06-01,319.4900,320.1800,318.8900,319.6700
2018-05-31,319.4400,319.8600,318.2800,319.5600
2018-05-30,320.5600,320.8300,318.6300,319.5000
2018-05-29,318.3100,320.8200,318.0700,320.6100
2018-05-28,318.6700,319.5500,318.0600,318.4200
2018-05-27,319.2400,319.2900,318.6000,319.0200
2018-05-25,318.9800,320.1100,318.6800,319.0400
2018-05-24,318.2500,319.8400,317.9900,318.9100
2018-05-23,317.5700,319.6600,317.4300,318.3100
2018-05-22,317.5800,318.7000,316.0700,317.7400
2018-05-21,317.9900,319.4700,317.2000,317.7000
2018-05-20,318.0800,318.2100,317.6600,318.1300
2018-05-18,316.9700,318.5400,316.5500,317.9200
2018-05-17,315.4900,317.4600,315.4600,317.0300
2018-05-16,316.2000,317.7000,315.3700,315.8100
2018-05-15,315.0400,317.5000,314.9300,316.5000
2018-05-14,315.0600,315.6100,314.5500,315.1400
2018-05-13,315.2900,315.3000,314.6500,314.9500
2018-05-11,314.0200,315.4100,313.6400,314.8200
2018-05-10,315.0200,315.6300,313.3000,314.0100
2018-05-09,314.7600,315.6700,314.4000,315.2900
2018-05-08,314.2500,315.2600,313.9600,314.8100
2018-05-07,313.2700,314.7400,313.1200,314.5300
2018-05-06,313.5900,313.5900,313.1600,313.4700
2018-05-04,313.4900,314.4800,313.1000,313.7200
2018-05-03,314.1400,314.8100,313.3100,313.7000
2018-05-02,313.5600,314.6500,312.6200,314.4300
2018-05-01,313.1700,315.4600,313.1000,313.8500
2018-04-30,312.6300,313.6900,312.3600,313.4400
2018-04-29,312.3200,312.8000,312.2300,312.7400
2018-04-27,312.5700,313.0400,312.2100,312.3000
2018-04-26,312.7600,313.2900,312.3300,312.6600
2018-04-25,312.2100,313.5100,312.0400,313.0100
2018-04-24,312.0800,312.8200,311.6500,312.4400
2018-04-23,310.3800,312.6200,310.2100,312.1100
2018-04-22,310.6200,310.7100,310.0500,310.6200
2018-04-20,309.9000,310.8800,309.7000,310.4200
2018-04-19,310.0700,310.5700,309.7500,310.2400
2018-04-18,310.0500,310.4800,309.5700,310.3500
2018-04-17,309.7500,310.9900,309.6100,310.3300
2018-04-16,310.3000,310.7800,309.5800,310.0700
2018-04-15,310.3900,311.4700,310.1800,310.7100
2018-04-13,310.8400,311.3400,310.0500,310.2500
2018-04-12,311.0600,311.5200,310.7300,311.1400
2018-04-11,310.9400,311.7300,310.8200,311.2300
2018-04-10,311.1600,311.7900,310.6200,311.1200
2018-04-09,311.5400,312.5400,310.8400,311.2500
2018-04-08,312.3600,312.3600,311.4000,311.9400
2018-04-06,310.8900,312.6400,310.6500,312.1900
2018-04-05,310.7200,311.5400,310.6000,310.9800
2018-04-04,311.4700,312.1700,310.7900,311.0000
2018-04-03,312.1300,312.6900,311.3500,311.7600
2018-04-02,312.2200,312.7000,311.8200,312.4200
2018-04-01,312.1500,312.3400,311.7900,312.2900
2018-03-30,312.1300,312.5500,311.5900,312.2700
2018-03-29,312.2000,312.6900,311.5800,311.9600
2018-03-28,312.6300,312.9200,311.8100,312.3200
2018-03-27,312.5400,313.0500,312.1400,312.7600
2018-03-26,312.5900,313.0000,312.2200,312.7000
2018-03-25,312.8000,312.8000,312.3600,312.7000
2018-03-23,311.6600,313.2200,311.6400,312.5000
2018-03-22,311.1900,312.2500,310.8900,311.9800
2018-03-21,311.2700,311.5600,310.7600,311.3900
2018-03-20,310.8600,311.5200,310.6900,311.3800
2018-03-19,311.1300,311.3300,310.1200,311.1400
2018-03-18,310.3900,311.8000,310.3900,311.3100
2018-03-16,310.9100,311.3300,310.2500,310.4300
2018-03-15,310.9100,311.3800,310.2200,311.0800
2018-03-14,311.2600,311.9200,310.6500,311.1800
2018-03-13,311.5600,311.9600,311.0900,311.6800
2018-03-12,311.3800,312.1200,311.0300,311.8100
2018-03-11,311.3200,312.0100,311.1700,311.5400
2018-03-09,311.6400,312.0800,311.1000,311.5300
2018-03-08,311.8400,312.4100,311.2500,311.7800
2018-03-07,312.6100,313.3600,311.3000,312.0500
2018-03-06,313.7800,314.2800,312.2700,312.6500
2018-03-05,313.3800,314.2500,313.0800,313.7800
2018-03-04,313.3200,313.7600,313.1800,313.3900
2018-03-02,313.2600,314.0100,313.0700,313.3800
2018-03-01,313.6100,313.9600,313.0100,313.4500
2018-02-28,313.8900,314.3900,313.3300,313.7200
2018-02-27,313.3600,314.2500,312.9700,313.9900
2018-02-26,312.7900,313.8000,312.5200,313.5200
2018-02-25,312.7900,313.0900,312.6000,313.0900
2018-02-23,312.4300,313.2000,312.3100,312.7100
2018-02-22,312.1200,313.1700,311.8600,312.7000
2018-02-21,311.6300,312.6000,311.3400,312.3800
2018-02-20,310.8100,312.1500,310.4800,311.5800
2018-02-19,311.2400,311.6200,310.4800,310.8800
2018-02-18,311.2700,311.4400,310.9400,311.4400
2018-02-16,310.9200,311.6400,310.6500,311.1300
2018-02-15,311.7400,312.1700,310.7300,311.1600
2018-02-14,311.8800,313.1700,311.2600,311.6700
2018-02-13,311.5200,312.2600,311.2600,311.6500
2018-02-12,311.8200,312.3400,311.2900,311.5200
2018-02-11,311.9800,312.2200,311.6500,312.0600
2018-02-09,310.9800,312.6500,310.8000,311.9500
2018-02-08,310.3400,311.4000,310.0200,311.0000
2018-02-07,309.6000,310.6200,309.1000,310.3400
